Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Au_48.48,-3.246927083380e+00,2.552617725655e+01,-5.621710,Stille,-8.9749,0.084823,517.409,0.66667,950.1826,48,48,4
Au_48.49,-1.157756603407e+00,1.653711663434e+01,-4.234110,Stille,-9.11264,0.101660,515.393,0.52,518.6252,48,49,4
Au_4.84,-8.539113316655e+00,-1.020446605840e+01,25.091266,None,NAN,NAN,666.686,0.34375,1128.323,4,84,4
Au_48.50,1.182952158191e+01,8.539142636041e+00,-1.530000,Stille,-9.4853,0.126923,436.291,0.57895,227.9415,48,50,4
Au_48.51,1.155535495707e+01,8.701621207316e+00,0.020000,Stille,-9.47005,0.126756,470.736,0.55,236.6681,48,51,4
Au_48.52,1.149896370775e+01,8.724603390081e+00,-1.220000,Stille,-9.53021,0.131640,470.736,0.55,314.8776,48,52,4
Au_48.53,1.183033130941e+01,8.313897687637e+00,-1.560000,Stille,-9.51606,0.128455,470.736,0.6,268.7588,48,53,4
Au_48.54,1.157764636992e+01,8.739204757055e+00,0.400000,Hiyama,-9.48176,0.134088,454.281,0.55,268.5617,48,54,4
Au_48.55,1.159859609765e+01,8.735731198979e+00,-1.120000,Stille,-9.54736,0.133213,454.281,0.55,245.5441,48,55,4
Au_48.56,1.190918016596e+01,8.349433837086e+00,-1.300000,Stille,-9.50462,0.129559,454.281,0.6,231.7540,48,56,4
Au_48.57,1.149207192957e+01,8.734355018449e+00,-1.280000,Stille,-9.42514,0.115647,450.318,0.55,327.2452,48,57,4
Au_48.58,1.144449835612e+01,8.737867297586e+00,-1.380000,Stille,-9.43603,0.123258,450.318,0.55,384.1745,48,58,4
Au_48.59,1.173272294694e+01,8.314055065151e+00,-1.660000,Stille,-9.38077,0.126033,450.318,0.6,363.3737,48,59,4
Au_4.85,4.982152174767e+00,-5.988671880789e+00,9.770148,None,NAN,NAN,546.491,0.4,717.3323,4,85,4
Au_48.60,1.093139016157e+01,8.887482754709e+00,-0.460000,Stille,-9.41833,0.139780,466.317,0.52381,605.2826,48,60,4
Au_48.61,1.124795663780e+01,8.461632365273e+00,-1.400000,Stille,-9.45345,0.127953,466.317,0.57143,547.3314,48,61,4
Au_48.62,1.173217243189e+01,8.057545388089e+00,-1.860000,Stille,-9.32687,0.122454,466.317,0.61905,405.3927,48,62,4
Au_48.63,1.139943916221e+01,8.250271108229e+00,-2.020000,Stille,-9.03043,0.115412,479.360,0.59091,441.8816,48,63,4
Au_48.64,1.132002501148e+01,8.850189790260e+00,-2.170000,Stille,-9.59772,0.107966,464.345,0.52381,279.8104,48,64,4
Au_48.65,1.120663580531e+01,8.671173940843e+00,-2.270000,Stille,-9.50354,0.105388,478.372,0.54545,342.1359,48,65,4
Au_48.66,1.147534848717e+01,8.662076921810e+00,0.370000,Hiyama,-9.44065,0.151474,490.261,0.54545,228.3580,48,66,4
Au_48.67,1.468245741284e+01,2.028878889745e+01,4.023991,Hiyama,NAN,NAN,425.264,0.61538,218.8125,48,67,4
Au_48.68,1.454696530837e+01,2.019414992941e+01,-0.820000,Stille,-9.6704,0.237571,415.269,0.58824,324.9345,48,68,4
Au_48.69,1.163437025040e+01,8.868024636289e+00,-1.850000,Stille,-9.56261,0.128227,416.301,0.52941,316.5345,48,69,4
Au_4.86,5.052821397822e+00,-5.879256964032e+00,11.571771,None,NAN,NAN,544.475,0.44,784.5904,4,86,4
Au_48.70,1.079425858678e+01,8.720353608762e+00,-2.090000,Stille,-9.4412,0.125212,478.372,0.54545,579.7364,48,70,4
Au_48.71,1.804549091045e+00,1.810092203156e+01,8.240000,None,-9.9712,0.288121,385.199,0.6,180.2835,48,71,4
Au_48.72,-5.041093778557e+00,4.070315321098e+00,-3.095330,Stille,NAN,NAN,558.417,0.44444,878.1989,48,72,4
Au_48.73,-5.865482808332e+00,3.812166741592e+00,1.694538,Hiyama,NAN,NAN,617.441,0.41935,1041.522,48,73,4
Au_48.74,-2.308334486082e+00,4.412468150903e+00,-1.961946,Stille,NAN,NAN,476.356,0.5,589.5432,48,74,4
Au_48.75,-2.426074364093e+00,4.569716936009e+00,-5.812768,Stille,NAN,NAN,495.315,0.47619,534.7229,48,75,4
Au_48.76,-7.680488176530e+00,1.584307579054e+01,1.641977,Hiyama,NAN,NAN,745.786,0.30952,1535.596,48,76,4
Au_48.77,-7.245978251107e+00,1.669980582627e+01,5.363479,Hiyama,NAN,NAN,747.802,0.40741,1316.780,48,77,4
Au_48.78,7.798766080935e-01,1.755794686017e+01,12.984675,None,NAN,NAN,425.244,0.55556,220.1157,48,78,4
Au_48.79,1.183170704035e+01,8.722532507626e+00,14.446504,None,NAN,NAN,426.252,0.55556,201.5303,48,79,4
Au_4.87,6.274754605241e+00,-6.635362060605e+00,14.647573,None,NAN,NAN,482.404,0.35,550.5953,4,87,4
Au_48.80,1.473783736220e+01,2.024598731885e+01,10.409311,None,NAN,NAN,426.252,0.61538,196.7873,48,80,4
Au_48.81,-6.682133661460e+00,3.270185034070e+00,1.989600,Hiyama,NAN,NAN,637.475,0.36364,1208.574,48,81,4
Au_48.82,-3.552859682495e+00,4.260496889168e+00,-4.970698,Stille,NAN,NAN,521.401,0.43478,685.5009,48,82,4
Au_48.83,-4.703073943442e+00,4.020256646450e+00,-4.242617,Stille,NAN,NAN,566.434,0.42308,844.6701,48,83,4
Au_48.84,-6.157204936291e+00,4.352900403828e+00,3.284430,Hiyama,NAN,NAN,623.577,0.45161,1076.469,48,84,4
Au_48.85,1.038483928259e+01,8.791835362220e+00,-6.654116,Stille,NAN,NAN,503.382,0.54167,580.4155,48,85,4
Au_48.86,9.514556686091e+00,7.982832139905e+00,-6.045900,Stille,NAN,NAN,501.366,0.58333,773.9301,48,86,4
Au_48.87,1.149567054482e+01,8.872701119873e+00,-2.151207,Stille,NAN,NAN,439.295,0.52632,357.7355,48,87,4
Au_48.88,1.178495983222e+01,8.104826685180e+00,-5.274160,Stille,NAN,NAN,467.305,0.61905,409.8126,48,88,4
Au_48.89,1.112533679612e+01,9.027183667460e+00,-2.932280,Stille,NAN,NAN,479.360,0.5,267.5686,48,89,4
Au_4.88,6.180349613900e+00,-5.893176801194e+00,12.056449,None,NAN,NAN,510.414,0.45455,695.0583,4,88,4
Au_48.90,9.790370237633e+00,9.331726106757e+00,13.297575,None,NAN,NAN,528.388,0.5,398.7492,48,90,4
Au_4.89,5.547606717137e+00,-6.403882645311e+00,14.165752,None,NAN,NAN,522.469,0.34783,587.9714,4,89,4
Au_4.8,-9.148823678397e+00,-1.036338152043e+01,34.709784,None,NAN,NAN,681.740,0.27273,861.9110,4,8,4
Au_4.90,4.337596215773e+00,-6.010915069402e+00,28.111126,None,NAN,NAN,571.497,0.37037,851.9338,4,90,4
Au_49.49,-1.052047229139e+00,1.654838164378e+01,-3.300000,Stille,-9.51851,0.072334,513.377,0.52,471.1653,49,49,4
Au_49.50,1.183870616314e+01,8.539769244218e+00,0.110000,Hiyama,-9.88273,0.126764,434.275,0.57895,224.0504,49,50,4
Au_49.51,1.155874704673e+01,8.707700642663e+00,0.470000,Hiyama,-9.82638,0.139787,468.720,0.55,239.4107,49,51,4
Au_49.52,1.158183171360e+01,8.687684843400e+00,0.340000,Hiyama,-9.92438,0.132184,468.720,0.55,213.0082,49,52,4
Au_49.53,1.187431977966e+01,8.307988159784e+00,1.640000,Hiyama,-9.91349,0.128051,468.720,0.6,227.9285,49,53,4
Au_49.54,1.164953837091e+01,8.717637132674e+00,1.943754,Hiyama,NAN,NAN,452.265,0.55,200.8486,49,54,4
Au_49.55,1.164385575803e+01,8.720733153796e+00,0.949745,Hiyama,NAN,NAN,452.265,0.55,206.7773,49,55,4
Au_49.56,1.191653218759e+01,8.353042765930e+00,1.630000,Hiyama,-9.93418,0.127355,452.265,0.6,229.5480,49,56,4
Au_49.57,1.155123488351e+01,8.719951889463e+00,-0.250000,Stille,-9.86286,0.115006,448.302,0.55,251.5705,49,57,4
Au_49.58,1.137897412691e+01,8.736161483401e+00,-0.140000,Stille,-9.81223,0.126084,448.302,0.55,452.7350,49,58,4
Au_49.59,1.176751832162e+01,8.322204404109e+00,1.410000,Hiyama,-9.77874,0.124505,448.302,0.6,337.1773,49,59,4
Au_49.60,1.140254764544e+01,8.853810209124e+00,-0.668220,Stille,NAN,NAN,464.301,0.52381,256.5361,49,60,4
Au_49.61,1.163675388912e+01,8.527194118410e+00,1.740000,Hiyama,-9.83727,0.126812,464.301,0.57143,245.1035,49,61,4
Au_49.62,1.168184574945e+01,8.016669776818e+00,1.300000,Hiyama,-9.74717,0.122648,464.301,0.61905,450.9292,49,62,4
Au_49.63,1.148023719588e+01,8.277614396149e+00,-0.570000,Stille,-9.00811,0.114032,477.344,0.59091,392.2231,49,63,4
Au_49.64,1.102545960425e+01,8.906230456382e+00,-0.900000,Stille,-9.90723,0.108255,462.329,0.52381,532.2163,49,64,4
Au_49.65,1.112315285119e+01,8.709915985804e+00,-1.040000,Stille,-9.83781,0.105138,476.356,0.54545,416.7740,49,65,4
Au_49.66,1.142110302975e+01,8.712848168627e+00,1.770366,Hiyama,NAN,NAN,488.245,0.54545,312.8493,49,66,4
